列 rd31 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 rd32 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 rd33 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 rd34 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 rd35 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 rd36 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 rd37 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 rd38 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 rd39 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 rd40 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 rd41 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 rd42 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 rd43 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 rd44 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 rd45 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 rd46 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 rd47 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 rd48 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd49 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd50 最大值所在的行: ['302076', '2', 'アクダマドライブ', '全员恶玉']
列 rd51 最大值所在的行: ['354146', '2', 'ラブライブ！スーパースター!! 2期', 'Love Live! Superstar!! 第二季']
列 rd52 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 rd53 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd54 最大值所在的行: ['364822', '2', 'お隣の天使様にいつの間にか駄目人間にされていた件', '关于邻家的天使大人不知不觉把我惯成了废人这档子事']
列 rd55 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd56 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd57 最大值所在的行: ['221119', '2', '王様ゲーム The Animation', '国王游戏']
列 rd58 最大值所在的行: ['294135', '2', '劇場版 少女☆歌劇 レヴュースタァライト', '剧场版 少女☆歌剧 Revue Starlight']
列 rd59 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 rd60 最大值所在的行: ['444634', '2', '僕らの雨いろプロトコル', '我们的雨色协议']
列 rd61 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd62 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd63 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 rd64 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 rd65 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd66 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 rd67 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd68 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd69 最大值所在的行: ['285437', '2', '三体', '三体']
列 rd70 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd1 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd2 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd3 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd4 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd5 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd6 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 qd7 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 qd8 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 qd9 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 qd10 最大值所在的行: ['9717', '2', '魔法少女まどか☆マギカ', '魔法少女小圆']
列 qd11 最大值所在的行: ['9717', '2', '魔法少女まどか☆マギカ', '魔法少女小圆']
列 qd12 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 qd13 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
